City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,ghanzi,-21.5667,21.7833,31.06,16,0,3.51,BW,1699551249
173,nizhnesortymskiy,62.4397,71.7603,-1.83,89,100,5.56,RU,1699551571
174,moncks corner,33.196,-80.0131,27.74,47,0,3.6,US,1699551572
175,san patricio,28.017,-97.5169,28.97,58,100,3.22,US,1699551158
176,atafu village,-8.5421,-172.5159,28.64,70,100,3.28,TK,1699551177
177,hsinchu,24.8036,120.9686,26.59,91,45,0.45,TW,1699551573
178,sola,-13.8833,167.55,26.05,84,100,12.04,VU,1699551574
179,bengkulu,-3.8004,102.2655,23.48,94,85,1.06,ID,1699551574
180,shalqar,47.8333,59.6,7.92,65,36,3.14,KZ,1699551574
181,catarman,12.4989,124.6377,25.23,92,30,1.45,PH,1699551575
182,beyneu,45.3167,55.2,11.59,56,100,7.66,KZ,1699551575
183,tucumcari,35.1717,-103.725,7.75,56,100,4.63,US,1699551576
184,hirara,24.8,125.2833,24.92,100,20,3.09,JP,1699551525
185,winnipeg,49.8844,-97.147,0.57,84,100,7.2,CA,1699550952
186,sitka,57.0531,-135.33,7.94,81,100,4.63,US,1699551212
187,sihanoukville,10.6093,103.5296,25.97,89,40,0.51,KH,1699551577
188,sault ste. marie,46.5168,-84.3333,4.31,75,40,6.69,CA,1699551340
189,manaure,11.7751,-72.4445,32.72,57,57,9.74,CO,1699551578
190,fougamou,-1.2154,10.5838,24.49,95,92,1.3,GA,1699551579
191,kirakira,-10.4544,161.9205,25.95,89,98,4.12,SB,1699551275
192,colonia,50.9333,6.95,11.09,75,100,5.14,DE,1699551392
193,berezivka,47.2043,30.9078,8.65,63,10,2.51,UA,1699551580
194,kazerun,29.6195,51.6541,19.59,44,0,1.35,IR,1699551580
195,franceville,-1.6333,13.5836,23.59,94,77,0.23,GA,1699551581
196,ballina,-28.8667,153.5667,17.1,89,37,4.08,AU,1699551581
197,nkove,-7.95,30.85,26.47,69,84,3.35,TZ,1699551582
198,ghadamis,30.1337,9.5007,26.24,15,40,3.92,LY,1699551582
199,nova vicosa,-17.8919,-39.3719,27.26,57,0,6.04,BR,1699551369
200,kem',64.9555,34.5793,-4.27,92,100,1.11,RU,1699551583
